Category Code, Category 
80-00735,Corridor Furnishings
80-00736,DNU-Corridor Art Accessories
80-00739,Trash Containers
80-00740,Other Furnishings
80-00741,Reimbursables FF&E
80-00746,EV Charging Stations
80-00747,Audio Visual Equipment
80-00748,Audio Visual Equipment Units
80-00749,Unit Sound System (Sonos)
80-00750,Start Up Equipment
80-00755,Collaterals
80-00760,Signage and Graphic Design
80-00765,Displays
80-00770,Renderings Design
80-00775,Marketing Signage
80-00780,Leaseup Advertising
80-00781,Leaseup Marketing
80-00783,Retail Leasing Commiss
80-00786,Preview Center
80-00787,Other FF and E Start Up
80-00790,Website Design Devel
80-00791,Branding
80-99999,TOTAL MARKETING LEASE UP FFandE
,
86-00000,RETAIL
86-00115,Legal Fees-Retail
86-00116,Lease Negotiations
86-00165,DNU-Broker Fee
86-00342,Building Permits
86-00365,Other Fees
86-00435,DNU-Consultant
86-00441,Tenant Coord Consultant
86-00490,Travel Costs
86-00495,DNU-Other Development Cost
86-00755,DNU-Collaterals
86-00757,Website Development
86-00758,DNU-Design Production
86-00760,Graphics Wayfinding
86-00761,Advertising
86-00767,Mrktg and Leasing Center
86-00783,3rd Party Leasing Commission
86-00786,DNU-Tenant Coord Fee
86-00805,Mgt Office FF and E
86-00900,Contingency
86-19599,TI Allowance
86-99999,TOTAL RETAIL
,
89-00000,DEPOSITS
89-49999,Escrow deposit
89-99990,TOTAL DEPOSITS
,
90-00000,CONTINGENCY
90-00900,Contingency
90-00910,Bank Owned Contingency
90-29999,Owner Contingency
90-99990,TOTAL CONTINGENCY
,
90-99999,TOTAL SOFT COSTS
,
99-99990,TOTAL PROJECT COSTS
,
99-99999,TOTAL OF ALL ACCOUNTS
,
